Blockgroup,Average_Income(USD)
530330233003,89512.98701
530330233004,98397.4359
530330234011,100688.4058
530330234012,98156.15836
530330234013,71048.17708
530330234031,119464.8438
530330234032,124921.7119
530330234033,143877.4403
530330234041,146587.5371
530330234042,176090.1468
530330235001,135440.8602
530330235002,124497.4227
530330235003,116737.5887
530330236011,85753.18246
530330236012,89268.1962
530330236013,142609.2896
530330236031,131622.1374
530330236032,80430.10753
530330236033,141222.5877
530330236034,102413.0879
530330236041,86283.98792
530330236042,101362.9032
530330236043,96102.75689
530330236044,104641.8539
530330237001,165402.6217
530330237002,166297.1698
530330237003,97913.53383
530330238011,120475.0403
530330238012,94297.32314
530330238031,116361.6715
530330238032,106100.2102
530330238041,92480.09101
530330238042,118588.4831
530330238043,132912.6704
530330239001,90856.38298
530330239002,161925.1543
530330239003,181893.5837
530330239004,185295.4145
530330240001,124219.5767
530330240002,144336.5922
530330240003,117066.9935
530330240004,129845.4914
530330241001,203603.8961
530330241002,183826.8156
530330241003,189410.3774
530330241004,196922.1411
530330242001,192119.9143
530330242002,186483.7398
530330243001,174169.9029
530330243002,107294.2238
530330243003,179465.0424
530330243004,95172.31638
530330243005,172841.8803
530330244001,101865
530330244002,100875.4864
530330245001,196614.7215
530330245002,180870.1923
530330245003,180559.3607
530330246011,165260.6007
530330246012,190424.5283
530330246013,207652.7051
530330246021,177222.2222
530330246022,205892.8571
530330246023,232680.7229
530330247011,126989.2473
530330247012,80295.83333
530330247013,115021.3675
530330247021,152467.6259
530330247022,114751.9841
530330247023,146201.7002
530330247024,121003.8241
530330247025,129074.6124
530330248001,75753.24675
530330248002,114132.1429
530330248003,68501.92678
530330249011,118363.2597
530330249012,164740.4844
530330249013,178953.0457
530330249014,160054.7445
530330249021,106127.907
530330249022,157758.2846
530330249023,127976.7726
530330249031,178840.9091
530330249032,170644.4992
530330249033,145418.552
530330249034,172441.5205
530330250011,156028.1065
530330250012,105068.438
530330250013,118973.3179
530330250014,133333.3333
530330250031,183303.3419
530330250032,207558.9005
530330250033,119293.3007
530330250034,182916.6667
530330250035,140976.5625
530330250051,192626.3158
530330250052,80035.59693
530330250061,209172.5352
530330250062,152687.7637
530330250063,165544.5076
530330251011,61356.58915
530330251012,65129.80769
530330251013,136588.3978
530330251014,170201.4925
530330251021,104830.402
530330251022,91582.44681
530330251023,135774.2616
530330251024,85961.53846
530330252001,106647.7273
530330252002,93471.07438
530330252003,86000.98619
530330252004,76380.5483
530330252005,94796.22266
530330253011,119355.8282
530330253012,100789.4737
530330253013,66474.11128
530330253021,67283.69384
530330253022,61750
530330253023,45731.51125
530330254001,51250
530330254002,50113.76564
530330254003,78667.55793
530330254004,59526.3789
530330255001,57152.63692
530330255002,91361.9403
530330255003,70760.86957
530330256011,100046.0829
530330256012,50659.49227
530330256013,105231.7629
530330256021,103675.5583
530330256022,113344.8753
530330256023,148213.0384
530330257011,80067.42739
530330257012,79350.31185
530330257013,38951.99063
530330257014,49986.53501
530330257015,52788.33107
530330257021,104688.7352
530330257022,105222.2222
530330257023,91763.61386
530330258031,71175.88933
530330258032,58983.87097
530330258033,45869.38436
530330258041,93294.44444
530330258042,71013.51351
530330258043,95531.91489
530330258051,71804.91991
530330258052,93588.32808
530330258053,63658.23817
530330258061,117665.5251
530330258062,92821.19205
530330258063,85527.88845
530330260011,105012.9758
530330260012,110631.4879
530330260013,96549.62547
530330260014,95691.66667
530330260015,56220.76023
530330260021,44131.37424
530330260022,74369.36937
530330260023,91937.5
530330260024,83118.84669
530330261001,67426.82927
530330261002,48933.56643
530330261003,59375
530330261004,57107.94297
530330261005,55645.28594
530330262001,32027.02703
530330262002,77610.54422
530330262003,52353.78715
530330262004,62378.41945
530330263001,59740.43716
530330263002,68458.99471
530330264001,38705.78778
530330264002,38253.74532
530330264003,66488.09524
530330264004,59960.78431
530330264005,44193.54839
530330265001,37983.87097
530330265002,26519.31649
530330265003,69982.69896
530330266001,74396.55172
530330266002,78798.20051
530330267001,71930.37975
530330267002,57661.89759
530330267003,104334.9515
530330267004,111992.665
530330268011,93708.53081
530330268012,37715.00843
530330268013,42424.24242
530330268014,59679.87805
530330268021,39576.67732
530330268022,45120.08734
530330268023,60660.28226
530330268024,75842.3913
530330270001,84151.9174
530330270002,67858.36177
530330270003,76114.45783
530330271001,41875
530330271002,74680.93093
530330272001,78903.1339
530330272002,51851.14504
530330273001,63938.84892
530330273002,47101.1396
530330273003,58750
530330273004,63730.51225
530330274001,61618.42105
530330274002,90130.85399
530330274003,71184.21053
